"Time","Self side","Rank1","Rank2","Opponent","Rank1","Rank2","Type","Size","Handicap","Result1","Result2","Result3"
2014/4/12 2:29,W,?,-99,EasyBot,-,-99,Free,19,0,W,1,204.5
2014/4/12 2:42,B,?,-99,rapland,G,-99,Free,19,0,W,0,Res.
2014/4/12 2:59,W,?,-99,kumaaaaaaa,-,-99,Free,9,0,W,1,17.5
2014/4/12 3:2,W,?,-99,BeginerBot,24k,-23,Ranked,19,0,W,1,Res.
2014/4/12 3:12,W,23k?,-22,kumaaaaaaa,-,-99,Free,9,0,W,1,29.5
2014/4/12 3:23,B,23k?,-22,GnuGo2,11k,-10,Free,19,6,B,1,26.5
2014/4/12 3:39,B,23k?,-22,mfgo12kyu0,-,-99,Free,19,0,B,1,0.5
2014/4/12 3:59,B,23k?,-22,Shimmy,13k?,-12,Free,19,0,B,1,Res.
2014/4/12 4:37,B,23k?,-22,amauryhcv,20k,-19,Ranked,19,0,W,0,Res.
2014/4/12 4:44,B,22k,-21,amauryhcv,20k,-19,Ranked,19,0,B,1,Res.
2014/4/12 5:48,W,20k,-19,terminat0r,-,-99,Free,19,0,B,0,Time
2014/4/12 5:50,B,20k,-19,Heron1,-,-99,Free,9,0,W,0,Res.
2014/4/12 15:37,B,20k,-19,Ryson,8k,-7,Free,19,0,W,0,Res.
2014/4/24 5:17,W,19k,-18,WeakBot9x9,-,-99,Free,9,0,W,1,54.5
2014/4/24 5:21,B,19k,-18,postneo,5k,-4,Ranked,19,0,W,0,Res.
2014/4/24 5:34,B,19k,-18,GnuGo2,11k,-10,Ranked,19,0,W,0,Res.
2014/4/24 5:37,W,19k,-18,mononeural,-,-99,Free,19,0,B,0,Res.
2014/4/24 5:48,B,19k,-18,mfgo12kyu,11k,-10,Ranked,19,0,B,1,13.5
2014/4/24 6:8,B,13k?,-12,Ades,13k,-12,Ranked,19,0,W,0,Res.
2014/4/24 6:17,W,13k?,-12,mfgo12kyu0,-,-99,Free,19,0,B,0,15.5
2014/4/24 6:39,W,13k?,-12,LibertyBot,15k,-14,Ranked,19,0,W,1,Res.
2014/4/26 19:22,B,12k,-11,Orego4,8k,-7,Ranked,19,0,W,0,Res.
2014/5/24 4:1,B,12k?,-11,RandomBot,-,-99,Free,13,0,B,1,159.5
2014/5/24 4:8,W,12k?,-11,terminat0r,-,-99,Free,19,0,B,0,Time
2014/5/24 4:12,W,12k?,-11,terminat0r,-,-99,Free,19,0,B,0,Time
2014/5/27 2:56,W,12k?,-11,popuyu,G,-99,Free,19,2,B,0,Res.
2014/5/27 3:14,W,12k?,-11,mfgo09kyu1,-,-99,Free,19,0,W,1,10.5
2014/5/27 3:33,W,12k?,-11,Cybermind,14k,-13,Ranked,19,2,W,1,5.5
2014/5/27 4:1,B,11k?,-10,masonc,8k,-7,Ranked,19,3,B,1,36.5
2014/5/27 4:48,B,10k?,-9,TCJ,8k,-7,Ranked,19,2,W,0,Res.
2014/5/27 17:15,W,10k,-9,philosofia,11k?,-10,Free,19,0,W,1,Res.
